respondent_id,age,gender,field_of_study,sleep_hours,physical_activity_hrs_per_week,caffeine_intake_mg_per_day,academic_stress_level_1_10,resting_heart_rate_bpm,diet_quality_1_10,pre_exam_anxiety_level_1_10,screen_time_hrs_per_day,social_media_hrs_per_day,screen_time_before_bed_minutes,notifications_per_day,uses_productivity_app,favorite_content_type,study_hours_per_week,procrastination_level_1_10,frequently_procrastinates,class_attendance_percent,late_assignments_per_semester,gpa,family_academic_achievement_history,takes_extra_tutoring,major_life_event_this_semester,digital_academic_wellbeing_level
STU-01172,49,Male,Medicine,7.0,5.7,364.0,10,75,9,5,1.9,4.2,11,0,No,News,4.5,7,Yes,78.9,4,2.7,Yes,Yes,No,Low
STU-01173,42,Female,Medicine,6.3,6.0,564.0,10,77,4,3,13.4,3.8,6,112,No,Gaming,4.5,9,Yes,64.9,2,2.03,No,No,No,Low
STU-01176,42,Other,Medicine,8.1,3.1,590.0,10,65,6,3,6.3,5.9,59,38,Yes,Entertainment,0.0,7,Yes,69.4,5,2.1,Yes,No,No,Low
STU-01177,59,Male,Education,5.5,3.0,20.0,10,61,8,5,7.2,2.9,25,0,Yes,Entertainment,4.5,8,Yes,84.6,0,2.73,No,Yes,Yes,High
STU-01178,34,Other,Education,8.0,3.0,183.0,2,113,1,1,10.7,0.0,28,0,Yes,Entertainment,4.5,4,No,80.9,6,2.65,No,No,No,High
STU-01179,33,Other,Culinary Arts,5.9,0.3,211.0,10,87,1,7,1.9,2.1,11,150,Yes,Social Media/Trends,4.5,5,No,83.0,7,2.37,Yes,Yes,Yes,Medium
STU-01180,55,Female,Fine Arts,5.5,3.7,118.0,10,61,8,5,16.0,8.0,69,150,No,Gaming,4.5,6,No,75.9,4,1.57,Yes,No,Yes,Low
STU-01181,49,MALE,Electrical Engineering,5.5,6.4,297.0,4,113,9,4,12.5,,41,75,Yes,Education,2.3,2,No,79.5,2,2.28,No,No,Yes,Medium
STU-01182,47,Male,Electrical Engineering,3.4,0.4,555.0,8,91,4,9,11.6,3.8,44,150,Yes,Education,18.2,4,No,82.7,2,2.63,No,Yes,Yes,Medium
STU-01183,41,Other,Fine Arts,6.4,2.5,249.0,5,98,5,3,12.5,3.8,69,0,No,Social Media/Trends,0.0,1,No,74.6,1,2.7,Yes,No,Yes,Medium
STU-01185,52,Female,Other Program,5.7,3.5,14.0,8,114,8,3,10.7,0.0,77,150,No,News,4.5,2,Yes,91.5,2,2.66,No,No,No,Low
STU-01186,62,Female,Nursing,7.0,1.7,390.0,7,64,4,4,1.0,4.6,29,75,Yes,News,0.0,5,No,66.2,3,2.56,No,No,No,Medium
STU-01188,18,Male,Visual Communication Design,7.2,1.8,63.0,8,87,10,5,16.0,0.8,26,0,No,Education,6.8,8,No,60.7,4,1.95,Yes,Yes,Yes,Low
STU-01189,22,Female,Education,7.8,2.0,279.0,3,79,9,1,14.2,5.1,43,38,Yes,Education,,6,No,90.6,8,2.12,No,Yes,No,High
STU-01194,32,Other,Other Program,5.6,3.9,63.0,7,95,2,3,8.1,1.7,21,75,No,News,2.3,5,Yes,84.8,1,2.51,No,Yes,Yes,Low
STU-01195,43,Male,Visual Communication Design,6.1,2.3,135.0,4,65,7,3,6.3,,26,150,No,Education,0.0,9,No,85.4,3,1.97,No,No,Yes,Low
STU-01196,25,Female,Electrical Engineering,6.2,0.6,592.0,1,71,2,4,6.3,6.7,0,38,Yes,News,2.3,2,No,73.6,3,2.48,Yes,Yes,No,High
STU-01198,41,Female,Sports Science,7.3,3.1,60.0,9,115,2,4,4.5,7.2,38,75,No,News,0.0,6,Yes,81.6,3,2.35,No,Yes,Yes,Low
STU-01199,52,Other,Visual Communication Design,5.6,1.5,221.0,8,102,4,4,15.1,7.6,57,75,No,News,9.1,7,Yes,78.3,7,2.04,Yes,No,No,Low
STU-01200,52,Male,Law,5.6,1.3,431.0,9,70,3,6,10.7,2.5,71,38,No,Social Media/Trends,0.0,9,Yes,80.0,4,1.98,No,No,No,Low
STU-01201,23,Other,Medicine,8.0,8.4,542.0,8,103,7,5,3.6,1.3,34,0,Yes,Education,0.0,5,Yes,82.0,6,2.62,No,Yes,Yes,Medium
STU-01202,41,Male,Nursing,8.1,2.4,252.0,2,113,10,2,1.0,7.6,53,38,No,Gaming,2.3,6,Yes,84.4,4,2.67,No,No,Yes,Low
STU-01203,48,Female,Other Program,5.1,2.9,120.0,8,80,4,4,6.3,6.3,52,0,Yes,News,2.3,2,No,89.6,1,2.89,No,No,No,Medium
STU-01204,53,Female,Law,5.6,0.7,438.0,1,100,2,2,1.9,2.9,45,38,No,Education,4.5,5,No,,1,2.65,No,No,Yes,Medium
STU-01205,25,female,Nursing,7.6,6.7,122.0,1,101,8,2,8.1,5.9,54,150,Yes,Education,13.6,6,No,80.6,4,2.72,Yes,Yes,No,Medium
STU-01206,64,Other,Nursing,4.2,3.6,190.0,10,114,2,6,9.8,1.3,44,150,Yes,Gaming,6.8,5,Yes,79.8,2,2.64,Yes,No,No,Medium
STU-01207,59,Female,Fine Arts,4.7,2.2,,10,67,7,4,13.4,8.0,43,150,No,News,2.3,6,Yes,90.6,3,1.71,No,No,Yes,Low
STU-01208,18,FEMALE,Fine Arts,6.8,3.0,221.0,8,82,9,4,10.7,5.9,0,112,Yes,News,4.5,5,Yes,85.3,2,2.28,No,Yes,Yes,Medium
STU-01209,26,Male,Education,7.6,4.0,179.0,7,112,3,3,3.6,6.3,37,150,No,News,4.5,5,No,88.5,0,2.82,Yes,Yes,Yes,Medium
STU-01212,38,Male,Other Program,8.3,1.3,,1,118,8,1,4.5,6.3,47,150,Yes,Entertainment,0.0,4,No,70.8,0,2.42,No,No,No,Medium
STU-01213,61,Male,Biology/Science,7.8,4.1,557.0,7,93,9,3,10.7,0.8,3,38,Yes,Entertainment,4.5,6,Yes,75.0,6,2.4,Yes,Yes,No,Medium
STU-01214,22,Male,Nursing,7.4,2.6,166.0,8,105,9,3,7.2,0.8,29,38,No,Entertainment,0.0,5,Yes,76.7,4,2.28,Yes,Yes,No,Medium
STU-01215,24,Female,Culinary Arts,5.0,0.1,385.0,10,93,3,9,12.5,7.2,31,150,No,Social Media/Trends,11.4,4,Yes,,5,2.23,Yes,No,Yes,Low
STU-01216,63,Other,Biology/Science,6.0,2.0,,1,113,7,5,12.5,6.7,36,75,Yes,Entertainment,9.1,3,No,69.2,5,2.98,Yes,No,Yes,Medium
STU-01218,43,Male,Fine Arts,6.7,4.8,166.0,4,94,1,2,2.8,3.4,7,150,No,Social Media/Trends,0.0,5,No,79.3,3,2.28,No,No,Yes,Low
STU-01219,58,Other,Sports Science,7.3,5.1,214.0,5,103,1,1,4.5,3.8,20,0,Yes,Education,6.8,5,Yes,100.0,3,2.81,Yes,Yes,No,High
STU-01222,49,Male,Biology/Science,6.0,2.8,407.0,7,68,10,5,7.2,3.4,18,150,No,Entertainment,2.3,1,No,71.4,3,2.98,No,Yes,No,Medium
STU-01223,32,Male,Biology/Science,7.1,1.8,365.0,7,99,10,4,3.6,5.5,54,112,No,Entertainment,4.5,4,Yes,90.1,0,1.86,Yes,Yes,Yes,Low
STU-01224,60,Male,Other Program,8.5,6.5,257.0,3,67,1,2,8.1,0.0,27,150,Yes,Entertainment,,5,No,90.2,3,1.83,Yes,No,No,Medium
STU-01225,25,Female,Visual Communication Design,7.7,2.5,286.0,6,77,3,2,11.6,4.6,29,112,Yes,Social Media/Trends,6.8,6,No,77.4,2,2.14,No,No,No,High
STU-01226,55,Female,Culinary Arts,5.8,6.4,289.0,3,64,4,4,5.4,0.0,58,38,Yes,Education,4.5,5,Yes,78.9,3,2.55,Yes,Yes,Yes,High
STU-01227,36,Male,Other Program,6.3,7.3,46.0,6,85,9,5,1.0,0.0,0,0,No,Social Media/Trends,4.5,3,No,86.5,4,3.14,Yes,No,No,Medium
STU-01228,23,Female,Culinary Arts,6.6,4.0,304.0,6,111,3,4,4.5,3.8,67,38,No,Education,6.8,8,Yes,94.6,5,2.79,No,Yes,No,Low
STU-01229,60,Other,Computer Science,6.6,2.8,135.0,5,108,10,3,14.2,3.4,46,0,No,Entertainment,6.8,6,No,82.1,5,3.0,Yes,Yes,No,Low
STU-01230,20,Female,Culinary Arts,6.9,5.5,303.0,3,77,3,2,12.5,5.5,14,150,Yes,News,2.3,9,Yes,,6,2.1,Yes,No,Yes,Medium
STU-01231,43,Female,Electrical Engineering,8.3,4.3,561.0,1,60,7,2,1.0,1.7,1,150,Yes,Entertainment,0.0,8,No,91.2,2,2.19,No,Yes,Yes,High
STU-01232,25,Other,Electrical Engineering,6.3,2.2,447.0,3,95,2,2,6.3,0.4,42,150,Yes,Social Media/Trends,9.1,9,No,73.1,3,2.34,Yes,Yes,Yes,Medium
STU-01233,57,Other,Computer Science,7.2,3.4,247.0,8,105,5,6,1.9,4.6,65,0,No,Education,2.3,5,No,72.7,2,2.44,Yes,No,Yes,Low
STU-01235,22,MALE,Visual Communication Design,8.8,1.2,130.0,6,63,9,2,8.1,4.2,86,75,Yes,Entertainment,0.0,6,No,60.8,3,1.89,No,Yes,Yes,Low
STU-01236,30,Female,Computer Science,8.4,5.5,305.0,6,82,4,3,8.1,2.9,16,150,No,Education,9.1,9,Yes,77.8,3,2.36,Yes,No,No,Low
STU-01237,36,Female,Visual Communication Design,6.9,0.4,101.0,7,116,7,4,5.4,5.9,0,150,No,Gaming,0.0,4,Yes,78.4,5,2.4,No,Yes,Yes,Low
STU-01238,61,Other,Information Systems,5.1,5.3,,4,79,3,3,11.6,1.7,23,75,Yes,Gaming,9.1,3,No,74.0,3,2.73,Yes,No,No,High
STU-01240,57,Other,Biology/Science,5.7,5.7,385.0,1,83,7,1,8.9,1.3,94,150,No,News,9.1,8,Yes,90.6,4,2.59,Yes,Yes,Yes,Low
STU-01241,21,Female,Nursing,4.8,0.3,522.0,8,111,3,8,15.1,2.1,60,75,No,,11.4,2,Yes,82.2,2,2.69,Yes,Yes,Yes,Medium
STU-01242,45,Male,Medicine,4.1,3.6,560.0,10,91,2,9,9.8,,45,112,No,News,11.4,3,Yes,80.8,5,2.59,Yes,No,No,Low
STU-01244,29,Male,Other Program,4.3,0.4,596.0,10,99,3,10,8.9,2.9,40,75,Yes,Social Media/Trends,11.4,2,No,73.9,1,2.87,No,No,Yes,Low
STU-01245,57,Female,Medicine,8.2,1.9,585.0,6,113,6,4,13.4,5.5,1,0,No,Social Media/Trends,2.3,8,Yes,94.0,6,2.04,Yes,No,Yes,Medium
STU-01246,60,Other,Electrical Engineering,7.7,0.0,564.0,10,74,5,6,5.4,7.6,55,150,No,Education,9.1,9,Yes,81.2,2,2.35,Yes,No,No,Low
STU-01248,33,Female,Visual Communication Design,7.2,4.0,153.0,1,100,4,2,5.4,0.8,69,112,No,Social Media/Trends,4.5,3,No,71.7,3,2.43,No,Yes,No,Medium
STU-01249,30,Female,Fine Arts,8.8,2.8,233.0,9,113,1,5,4.5,2.1,22,75,Yes,News,4.5,6,Yes,78.2,3,2.73,Yes,Yes,Yes,High
STU-01250,56,Other,Other Program,6.5,6.1,243.0,4,105,8,2,9.8,0.0,40,75,No,News,4.5,2,No,82.3,0,2.72,Yes,No,Yes,Medium
STU-01251,33,Other,Medicine,6.3,1.7,496.0,2,62,9,2,9.8,8.0,46,75,Yes,Education,0.0,5,No,85.2,3,2.58,No,No,Yes,High
STU-01252,56,Other,Information Systems,6.7,3.5,103.0,5,73,3,4,10.7,4.6,55,0,Yes,Entertainment,4.5,8,Yes,83.9,1,2.05,No,Yes,Yes,Low
STU-01253,27,Other,Biology/Science,7.5,3.0,259.0,6,78,7,1,13.4,1.7,11,112,No,News,0.0,6,Yes,81.4,6,1.69,No,Yes,Yes,Medium
STU-01254,32,FEMALE,Other Program,6.7,3.6,72.0,5,101,5,3,5.4,4.6,44,38,No,News,9.1,7,Yes,65.3,5,2.55,Yes,No,Yes,Low
STU-01255,49,Male,Nursing,6.2,4.7,190.0,8,83,4,5,2.8,0.0,36,75,Yes,News,2.3,2,No,93.5,6,2.65,Yes,Yes,No,Medium
STU-01256,36,Female,Culinary Arts,7.4,3.9,230.0,8,101,3,8,6.3,2.1,0,38,No,Education,11.4,10,Yes,77.8,5,1.74,Yes,No,Yes,Low
STU-01257,55,Other,Other Program,8.5,5.9,155.0,1,86,6,1,9.8,6.3,45,0,No,Education,4.5,6,No,80.3,2,2.24,Yes,No,No,Low
STU-01258,24,Other,Information Systems,8.2,1.1,,6,77,5,1,16.0,7.2,80,150,Yes,News,6.8,4,No,78.7,1,1.94,Yes,No,Yes,Low
STU-01259,32,Other,Fine Arts,8.2,0.5,267.0,2,88,2,2,1.9,2.1,17,75,Yes,News,0.0,1,No,79.4,1,2.54,No,Yes,Yes,High
STU-01262,38,Other,Culinary Arts,5.7,1.5,364.0,1,96,9,2,13.4,7.6,35,112,Yes,Social Media/Trends,2.3,6,Yes,83.6,6,2.55,Yes,No,Yes,Medium
STU-01263,64,Other,Medicine,6.3,3.7,338.0,5,77,3,3,5.4,3.8,34,75,,Social Media/Trends,4.5,6,No,79.7,5,2.32,No,No,No,Medium
STU-01264,59,Other,Education,6.4,2.6,148.0,6,107,10,3,2.8,5.1,31,0,Yes,Education,6.8,6,Yes,85.3,5,2.22,Yes,Yes,No,Low
STU-01265,53,Other,Information Systems,5.3,5.3,220.0,7,101,5,3,11.6,7.6,11,75,No,Education,6.8,7,Yes,87.3,3,2.65,Yes,No,No,Low
STU-01267,20,Other,Other Program,5.2,0.6,462.0,8,108,4,8,40.2,5.5,41,75,No,Social Media/Trends,15.9,2,Yes,90.2,4,2.77,Yes,Yes,Yes,Medium
STU-01268,24,Female,Sports Science,6.8,0.6,220.0,8,91,7,4,13.4,5.1,1,75,Yes,Entertainment,2.3,10,Yes,70.0,5,1.92,No,No,No,Low
STU-01269,61,Female,Nursing,6.4,5.6,393.0,3,97,8,5,3.6,8.0,14,0,Yes,Gaming,4.5,5,No,91.4,3,2.31,Yes,No,Yes,Medium
STU-01270,50,Male,Education,6.6,4.8,196.0,2,79,2,2,16.0,2.1,7,38,No,News,2.3,8,Yes,65.7,6,2.1,Yes,Yes,No,Low
STU-01273,24,Male,Law,6.1,5.0,581.0,4,73,3,5,10.7,2.5,30,38,Yes,Entertainment,4.5,2,No,86.9,5,2.37,Yes,Yes,Yes,Medium
STU-01274,49,Female,Fine Arts,6.3,1.3,264.0,1,117,8,4,11.6,1.7,0,38,No,Education,2.3,2,Yes,89.9,3,2.31,No,Yes,No,High
STU-01275,37,Female,Culinary Arts,6.4,2.7,334.0,5,90,7,3,13.4,7.6,0,75,No,Education,4.5,5,No,85.7,1,2.5,Yes,Yes,Yes,Low
STU-01276,31,Female,Nursing,8.1,5.0,207.0,9,65,7,4,8.9,5.9,0,150,Yes,Education,15.9,10,Yes,70.2,5,2.34,Yes,No,Yes,High
STU-01278,28,Male,Other Program,8.0,4.0,279.0,2,116,9,3,9.8,4.2,68,150,Yes,Entertainment,2.3,5,No,70.0,6,2.37,No,No,Yes,Medium
STU-01279,26,Other,Other Program,6.7,0.5,229.0,5,65,6,5,8.399999999999999,2.1,46,112,No,Entertainment,11.4,8,No,77.0,4,2.16,Yes,Yes,No,Low
STU-01280,27,Male,Other Program,8.9,1.4,48.0,8,118,3,5,12.5,5.9,7,150,No,News,0.0,9,Yes,70.5,7,2.25,No,No,No,Medium
STU-01281,58,Other,Fine Arts,6.5,4.4,175.0,5,91,3,3,14.2,2.9,9,0,Yes,Entertainment,2.3,2,Yes,79.6,4,2.77,Yes,Yes,Yes,High
STU-01282,46,Female,Sports Science,5.6,7.0,239.0,6,98,7,3,1.0,6.3,61,75,Yes,Social Media/Trends,2.3,9,Yes,79.7,4,2.96,Yes,Yes,No,Medium
STU-01283,30,Male,Sports Science,6.6,2.4,52.0,8,89,5,3,3.6,8.0,34,0,No,Education,2.3,6,Yes,67.6,5,2.74,No,No,Yes,Low
STU-01284,24,Male,Electrical Engineering,7.5,2.0,515.0,1,91,7,2,1.9,0.8,51,150,No,News,2.3,4,Yes,95.4,1,2.55,No,Yes,No,High
STU-01285,56,Male,Visual Communication Design,6.5,4.8,156.0,1,117,8,1,10.7,1.7,40,112,No,News,0.0,1,No,84.4,0,2.56,No,No,No,Medium
STU-01286,37,Other,Information Systems,5.5,2.1,171.0,3,114,7,1,12.5,3.8,57,150,Yes,Social Media/Trends,2.3,9,Yes,69.5,5,2.12,No,Yes,No,Low
STU-01287,45,Male,Computer Science,4.5,1.7,575.0,9,95,3,10,15.1,4.6,13,150,No,News,15.9,8,Yes,80.9,7,2.69,Yes,Yes,No,Low
STU-01289,27,Female,Sports Science,7.6,5.6,291.0,8,112,2,5,7.2,5.1,37,150,No,Entertainment,11.4,10,Yes,57.5,2,2.41,Yes,Yes,Yes,Low
STU-01290,38,female,Other Program,3.9,0.4,344.0,9,96,1,9,11.6,5.5,0,112,No,Education,15.9,7,Yes,82.1,5,2.32,No,No,Yes,Low
STU-01291,56,Male,Information Systems,6.5,1.1,389.0,4,99,5,4,3.6,6.3,15,112,Yes,Gaming,0.0,4,Yes,83.4,8,2.29,No,Yes,No,Medium
STU-01292,39,Male,Education,8.6,3.3,294.0,4,119,10,3,9.8,3.4,21,0,No,Entertainment,4.5,2,Yes,75.2,2,2.6,Yes,No,No,High
STU-01293,26,Male,Visual Communication Design,6.7,1.8,268.0,8,98,4,4,10.7,2.5,47,112,Yes,Education,2.3,2,No,90.6,3,2.36,No,No,No,Medium
STU-01294,33,Other,Electrical Engineering,8.9,1.6,427.0,8,76,10,2,2.8,0.4,25,0,No,Education,4.5,3,No,82.7,4,2.83,Yes,Yes,Yes,High
STU-01295,27,Male,Visual Communication Design,6.3,0.0,231.0,10,110,9,5,2.8,6.3,42,112,Yes,Social Media/Trends,2.3,4,No,55.3,3,2.98,No,No,No,Low
STU-01296,39,Female,Electrical Engineering,5.7,2.9,577.0,8,67,4,6,8.9,2.1,0,112,Yes,Social Media/Trends,,3,Yes,77.1,3,2.72,Yes,Yes,No,High
STU-01297,52,Male,Electrical Engineering,5.1,0.5,498.0,4,84,4,4,8.1,5.5,56,150,No,News,9.1,4,Yes,71.2,3,2.91,Yes,No,No,Low
STU-01298,25,Female,Education,7.3,2.6,79.0,4,60,6,1,16.0,3.4,43,38,,News,0.0,7,Yes,75.6,6,1.5,No,Yes,No,Low
STU-01299,64,male,Medicine,5.9,2.4,250.0,8,111,5,5,11.6,7.2,54,0,Yes,Gaming,11.4,1,No,88.3,1,2.85,Yes,No,Yes,Medium
STU-01300,43,Other,Electrical Engineering,7.0,0.8,526.0,10,98,6,7,9.8,7.2,52,75,No,Education,13.6,8,Yes,77.1,0,2.15,Yes,Yes,Yes,Low
STU-01301,20,Other,Visual Communication Design,3.9,1.7,577.0,8,90,3,8,9.8,7.6,56,150,Yes,News,15.9,9,Yes,,3,2.31,Yes,Yes,Yes,Low
STU-01302,32,Other,Computer Science,8.0,4.1,338.0,1,110,7,2,5.4,4.6,50,-5,No,Education,6.8,8,Yes,82.3,9,2.68,Yes,No,Yes,Medium
STU-01303,62,Other,Law,6.8,0.7,315.0,9,113,4,4,14.2,7.6,38,75,No,Social Media/Trends,9.1,7,No,79.5,4,2.22,No,Yes,Yes,Low
STU-01304,50,Male,Information Systems,6.9,1.6,274.0,1,67,7,1,11.6,7.6,46,150,No,Entertainment,0.0,1,No,80.4,2,2.32,No,No,No,Medium
STU-01305,36,Male,Computer Science,4.5,2.9,320.0,9,110,4,8,16.0,7.2,32,75,,Gaming,9.1,2,No,89.3,4,2.67,Yes,No,Yes,Low
STU-01306,29,Other,Education,6.0,4.8,166.0,5,82,4,3,12.5,4.2,15,75,No,News,0.0,2,Yes,78.5,1,2.15,No,No,Yes,Low
STU-01307,55,Other,Biology/Science,5.2,0.4,443.0,5,105,4,4,8.9,3.8,37,0,Yes,Education,2.3,9,Yes,75.7,5,2.43,No,No,No,High
STU-01308,48,Other,Other Program,6.8,5.2,213.0,5,118,2,3,15.1,2.9,49,75,Yes,Social Media/Trends,6.8,6,Yes,66.4,5,2.29,Yes,Yes,Yes,Medium
STU-01309,39,Female,Visual Communication Design,7.2,0.8,175.0,10,65,9,4,15.1,0.8,28,38,Yes,News,9.1,3,No,86.5,5,2.76,Yes,Yes,Yes,High
STU-01310,26,Female,Other Program,7.4,4.6,55.0,5,73,3,3,16.0,7.6,73,75,No,Social Media/Trends,0.0,7,No,76.2,0,2.0,No,No,Yes,Low
STU-01311,56,Other,Fine Arts,6.5,0.9,221.0,2,102,7,3,15.1,2.1,6,75,No,Social Media/Trends,9.1,5,No,83.3,5,2.23,Yes,Yes,Yes,Medium
STU-01312,31,Male,Computer Science,4.4,1.4,430.0,8,111,3,9,8.1,6.7,34,75,Yes,Entertainment,20.5,4,Yes,71.1,3,2.59,No,Yes,Yes,Low
STU-01313,27,Male,Culinary Arts,8.9,3.7,231.0,1,66,10,2,15.1,7.6,12,38,Yes,Education,0.0,7,Yes,100.0,3,2.11,No,No,No,Medium
STU-01314,36,Male,Biology/Science,6.0,4.0,288.0,6,89,6,5,15.1,4.6,87,38,No,Social Media/Trends,13.6,5,No,83.8,4,2.63,Yes,No,Yes,Low
STU-01315,60,female,Visual Communication Design,7.4,4.2,270.0,4,92,10,3,11.6,3.4,33,75,Yes,Entertainment,4.5,8,Yes,98.5,1,2.28,Yes,No,No,Medium
STU-01316,55,Female,Nursing,7.6,4.4,110.0,6,118,7,3,10.7,4.2,9,150,Yes,Education,11.4,4,No,65.7,4,2.9,Yes,Yes,Yes,High
STU-01317,48,Male,Computer Science,6.4,0.3,220.0,2,75,9,2,14.2,2.5,47,150,,Social Media/Trends,2.3,5,No,72.8,4,2.25,No,Yes,Yes,Low
STU-01318,33,Female,Nursing,6.4,2.2,226.0,4,101,10,2,9.8,,31,0,No,Gaming,2.3,8,Yes,83.3,3,2.17,Yes,Yes,Yes,Low
STU-01319,64,Other,Nursing,6.5,3.1,373.0,1,117,9,2,3.6,6.7,8,75,Yes,News,4.5,8,Yes,81.8,2,2.58,Yes,No,Yes,Medium
STU-01320,28,Other,Sports Science,6.3,4.6,288.0,10,65,4,5,10.7,3.8,8,0,Yes,Gaming,15.9,3,No,83.4,7,3.05,Yes,Yes,Yes,High
STU-01321,39,Male,Computer Science,7.5,6.1,294.0,5,72,5,3,16.0,8.0,78,150,Yes,News,6.8,6,No,64.2,5,2.24,No,Yes,Yes,Low
STU-01322,40,Other,Visual Communication Design,7.0,5.4,114.0,3,116,4,4,7.2,2.9,45,112,Yes,Education,6.8,2,No,87.4,2,2.39,No,No,No,High
STU-01323,24,Female,Biology/Science,6.1,3.1,326.0,10,111,1,5,5.4,2.1,20,150,No,Education,2.3,4,Yes,95.5,0,2.43,Yes,No,Yes,Medium
STU-01324,33,Female,Computer Science,3.5,0.2,559.0,10,106,3,8,10.7,4.2,45,112,No,News,20.5,8,Yes,93.5,6,3.12,No,Yes,Yes,Low
STU-01325,46,Female,Computer Science,6.8,3.4,175.0,1,90,10,3,13.4,3.4,58,38,,News,2.3,8,Yes,87.3,6,2.71,Yes,Yes,No,Medium
STU-01326,28,Female,Visual Communication Design,7.1,4.7,174.0,10,72,9,5,6.3,1.7,56,112,Yes,Gaming,2.3,5,Yes,83.0,7,2.1,Yes,No,No,Low
STU-01327,37,Male,Medicine,7.6,6.7,429.0,7,118,3,4,14.2,5.1,47,75,Yes,Entertainment,6.8,8,Yes,93.3,5,2.06,No,No,No,Low
STU-01330,35,Male,Visual Communication Design,7.4,5.9,85.0,2,88,7,1,6.3,8.0,32,0,Yes,Entertainment,0.0,5,No,80.2,3,2.6,No,Yes,No,Medium
STU-01332,44,MALE,Medicine,6.4,3.1,485.0,3,112,3,3,4.5,2.9,40,38,Yes,Education,6.8,5,Yes,92.4,3,3.2,Yes,No,Yes,High
STU-01333,37,Other,Other Program,3.0,0.3,520.0,9,101,4,9,9.8,4.2,48,150,No,Social Media/Trends,13.6,2,No,77.7,4,3.15,Yes,No,No,Low
STU-01334,36,Female,Electrical Engineering,6.5,5.9,425.0,4,112,7,3,11.6,1.7,44,0,Yes,Gaming,4.5,6,Yes,95.0,8,2.28,No,Yes,Yes,High
STU-01335,42,Other,Culinary Arts,7.6,2.1,255.0,2,62,9,2,12.5,2.1,46,75,Yes,Social Media/Trends,9.1,6,No,79.0,4,2.5,Yes,No,Yes,Medium
STU-01336,29,Other,Education,6.7,3.2,218.0,2,81,1,3,11.6,3.8,6,38,Yes,Entertainment,2.3,5,Yes,81.3,5,2.29,Yes,Yes,No,High
STU-01337,38,Male,Information Systems,4.2,1.9,379.0,10,95,4,9,14.2,6.7,43,112,No,Social Media/Trends,20.5,3,No,78.6,5,2.9,Yes,No,No,Low
STU-01339,42,Male,Biology/Science,7.1,3.9,506.0,8,75,3,4,4.5,5.1,36,-5,No,Gaming,2.3,4,No,91.4,3,2.44,No,Yes,Yes,Medium
STU-01340,55,Other,Law,5.6,5.2,,1,118,5,3,12.5,1.3,39,38,Yes,News,6.8,9,Yes,76.1,6,2.28,Yes,No,Yes,Medium
STU-01341,48,Female,Computer Science,6.3,2.8,243.0,8,81,10,4,12.5,3.8,51,75,Yes,Entertainment,0.0,2,No,55.8,5,2.44,No,No,Yes,Medium
STU-01342,50,Male,Biology/Science,7.0,2.7,599.0,6,76,8,1,6.3,6.7,39,112,Yes,Gaming,2.3,5,No,85.9,5,2.61,No,Yes,Yes,Medium
STU-01343,43,Female,Sports Science,8.4,0.8,218.0,6,118,2,5,4.5,4.6,44,0,No,Social Media/Trends,4.5,10,Yes,70.8,2,2.08,No,No,No,Low
STU-01344,29,Other,Sports Science,5.6,3.9,121.0,9,95,8,5,4.5,2.9,46,38,Yes,News,2.3,4,Yes,87.0,5,2.39,No,Yes,No,High
STU-01346,19,Other,Fine Arts,7.5,3.9,291.0,7,75,5,3,6.3,1.7,3,38,No,News,15.9,3,No,74.1,5,3.1,Yes,No,Yes,High
STU-01347,18,Female,Medicine,6.1,5.6,578.0,6,115,10,6,13.4,2.5,47,112,No,Gaming,9.1,2,No,88.6,4,2.52,Yes,Yes,No,High
STU-01348,34,FEMALE,Nursing,6.9,1.5,380.0,5,79,2,3,5.4,0.8,36,38,No,News,0.0,5,Yes,91.3,1,2.66,No,No,Yes,Low
STU-01349,24,Female,Visual Communication Design,8.3,0.9,276.0,1,91,5,2,13.4,0.0,33,112,No,News,11.4,4,No,75.6,0,2.24,Yes,No,No,High
STU-01350,28,Other,Sports Science,7.9,4.6,213.0,7,70,9,4,15.1,5.1,28,38,No,News,4.5,6,Yes,,3,2.29,No,Yes,Yes,Low
STU-01352,35,Female,Nursing,6.6,3.9,359.0,9,96,3,4,12.5,0.4,72,112,No,Gaming,,10,Yes,71.7,5,1.93,No,Yes,No,Low
STU-01353,44,Other,Visual Communication Design,3.6,0.8,314.0,9,118,2,10,16.0,6.3,0,112,No,News,11.4,7,Yes,73.1,3,2.38,Yes,No,Yes,Low
STU-01355,59,Female,Fine Arts,7.3,3.2,86.0,2,102,6,2,12.5,2.9,36,38,Yes,Entertainment,9.1,5,No,87.5,9,2.67,Yes,Yes,Yes,High
STU-01356,40,Female,Other Program,6.0,3.9,248.0,9,70,5,5,10.7,4.6,8,38,Yes,Education,6.8,3,No,81.1,4,2.62,Yes,Yes,Yes,Low
STU-01357,22,Female,Medicine,4.6,0.4,,8,109,2,10,37.5,3.4,52,112,No,Social Media/Trends,20.5,10,Yes,79.5,5,2.54,Yes,No,Yes,Low
STU-01359,51,Female,Information Systems,6.3,4.3,144.0,4,93,4,4,16.0,5.9,57,112,Yes,Entertainment,18.2,5,Yes,77.9,5,2.25,Yes,Yes,No,Low
STU-01360,48,Other,Fine Arts,6.5,5.0,278.0,4,76,1,5,6.3,6.7,0,38,No,News,11.4,4,Yes,86.9,4,2.74,Yes,Yes,No,Medium
